ticker,name,yahoo_ticker
ITW,ILLINOIS TOOL WORKS INC,ITW
BLL,BALL CORP,BLL
NKE,NIKE INC,NKE
JWN,NORDSTROM INC,JWN
AFL,AFLAC INC,AFL
NTRS,NORTHERN TRUST CORP,NTRS
FRT,FEDERAL REALTY INVESTMENT TRUST,FRT
LUV,SOUTHWEST AIRLINES CO,LUV
LNT,ALLIANT ENERGY CORP,LNT
GPS,GAP INC,GPS
AXP,AMERICAN EXPRESS CO,AXP
TAP,MOLSON COORS BREWING CO,TAP
UDR,U D R INC,UDR
INTC,INTEL CORP,INTC
BAC,BANK OF AMERICA CORP,BAC
TRV,TRAVELERS COMPANIES INC,TRV
MDT,MEDTRONIC PLC,MDT
SNA,SNAP ON INC,SNA
PNC,P N C FINANCIAL SERVICES GRP IN,PNC
PCAR,PACCAR INC,PCAR
CTL,CENTURYLINK INC,CTL
FDX,FEDEX CORP,FDX
ADI,ANALOG DEVICES INC,ADI
LEG,LEGGETT & PLATT INC,LEG
NWL,NEWELL BRANDS INC,NWL
AMD,ADVANCED MICRO DEVICES INC,AMD
LOW,LOWES COMPANIES INC,LOW
PAYX,PAYCHEX INC,PAYX
AON,AON PLC,AON
NBL,NOBLE ENERGY INC,NBL
TMO,THERMO FISHER SCIENTIFIC INC,TMO
CSX,C S X CORP,CSX
TMK,TORCHMARK CORP,TMK
CI,CIGNA CORP NEW,CI
LB,L BRANDS INC,LB
NSC,NORFOLK SOUTHERN CORP,NSC
PGR,PROGRESSIVE CORP OH,PGR
PSA,PUBLIC STORAGE,PSA
D,DOMINION ENERGY INC,D
KEY,KEYCORP NEW,KEY
AOS,SMITH A O CORP,AOS
COO,COOPER COMPANIES INC,COO
VZ,VERIZON COMMUNICATIONS INC,VZ
HCN,WELLTOWER INC,HCN
T,A T & T INC,T
USB,U S BANCORP DEL,USB
HD,HOME DEPOT INC,HD
WDC,WESTERN DIGITAL CORP,WDC
AIG,AMERICAN INTERNATIONAL GROUP IN,AIG
HCP,H C P INC,HCP
STI,SUNTRUST BANKS INC,STI
MS,MORGAN STANLEY DEAN WITTER & CO,MS
MYL,MYLAN N V,MYL
RJF,RAYMOND JAMES FINANCIAL INC,RJF
STZ,CONSTELLATION BRANDS INC,STZ
HOG,HARLEY DAVIDSON INC,HOG
APC,ANADARKO PETROLEUM CORP,APC
C,CITIGROUP INC,C
ECL,ECOLAB INC,ECL
UNM,UNUM GROUP,UNM
BBT,B B & T CORP,BBT
STT,STATE STREET CORP,STT
SYK,STRYKER CORP,SYK
BHGE,BAKER HUGHES INC NEW,BHGE
TIF,TIFFANY & CO NEW,TIF
ABMD,ABIOMED INC,ABMD
CCL,CARNIVAL CORP,CCL
SCHW,SCHWAB CHARLES CORP NEW,SCHW
PXD,PIONEER NATURAL RESOURCES CO,PXD
DRE,DUKE REALTY CORP,DRE
ADBE,ADOBE INC,ADBE
SYMC,SYMANTEC CORP,SYMC
VTR,VENTAS INC,VTR
EOG,EOG RESOURCES INC,EOG
EA,ELECTRONIC ARTS INC,EA
CSCO,CISCO SYSTEMS INC,CSCO
COG,CABOT OIL & GAS CORP,COG
HOLX,HOLOGIC INC,HOLX
XLNX,XILINX INC,XLNX
CBS,C B S CORP NEW,CBS
AZO,AUTOZONE INC,AZO
REGN,REGENERON PHARMACEUTICALS INC,REGN
TSS,TOTAL SYSTEM SERVICES INC,TSS
IDXX,I D E X X LABORATORIES INC,IDXX
AES,A E S CORP,AES
VRTX,VERTEX PHARMACEUTICALS INC,VRTX
BIIB,BIOGEN INC,BIIB
KIM,KIMCO REALTY CORP,KIM
QCOM,QUALCOMM INC,QCOM
PRGO,PERRIGO CO PLC,PRGO
GILD,GILEAD SCIENCES INC,GILD
ROP,ROPER TECHNOLOGIES INC,ROP
SNPS,SYNOPSYS INC,SNPS
M,MACYS INC,M
MHK,MOHAWK INDUSTRIES INC,MHK
BSX,BOSTON SCIENTIFIC CORP,BSX
KSS,KOHLS CORP,KSS
DHI,D R HORTON INC,DHI
SBUX,STARBUCKS CORP,SBUX
TSN,TYSON FOODS INC,TSN
AGN,ALLERGAN PLC,AGN
INTU,INTUIT INC,INTU
MCHP,MICROCHIP TECHNOLOGY INC,MCHP
CB,CHUBB LTD,CB
ORLY,O REILLY AUTOMOTIVE INC NEW,ORLY
RCL,ROYAL CARIBBEAN CRUISES LTD,RCL
FLIR,FLIR SYSTEMS INC,FLIR
ALL,ALLSTATE CORP,ALL
BWA,BORGWARNER INC,BWA
EQR,EQUITY RESIDENTIAL,EQR
UHS,UNIVERSAL HEALTH SERVICES INC,UHS
ATVI,ACTIVISION BLIZZARD INC,ATVI
IT,GARTNER INC,IT
REG,REGENCY CENTERS CORP,REG
INCY,INCYTE CORP,INCY
EMN,EASTMAN CHEMICAL CO,EMN
SPG,SIMON PROPERTY GROUP INC NEW,SPG
MAA,MID AMERICA APT COMMUNITIES INC,MAA
ALB,ALBEMARLE CORP,ALB
MLM,MARTIN MARIETTA MATERIALS INC,MLM
TSCO,TRACTOR SUPPLY CO NEW,TSCO
CPRT,COPART INC,CPRT
AVB,AVALONBAY COMMUNITIES INC,AVB
MAC,MACERICH CO,MAC
NKTR,NEKTAR THERAPEUTICS,NKTR
ESS,ESSEX PROPERTY TRUST INC,ESS
AIV,APARTMENT INVESTMENT & MGMT CO,AIV
O,REALTY INCOME CORP,O
COF,CAPITAL ONE FINANCIAL CORP,COF
MCK,MCKESSON H B O C INC,MCK
DLTR,DOLLAR TREE INC,DLTR
ABC,AMERISOURCEBERGEN CORP,ABC
DRI,DARDEN RESTAURANTS INC,DRI
WAB,WABTEC CORP,WAB
DISH,DISH NETWORK CORPORATION,DISH
RMD,RESMED INC,RMD
FCX,FREEPORT MCMORAN INC,FCX
RE,EVEREST RE GROUP LTD,RE
DVA,DAVITA INC,DVA
HSIC,SCHEIN HENRY INC,HSIC
NTAP,NETAPP INC,NTAP
EL,LAUDER ESTEE COS INC,EL
WAT,WATERS CORP,WAT
CTXS,CITRIX SYSTEMS INC,CTXS
HIG,HARTFORD FINANCIAL SVCS GRP INC,HIG
ALXN,ALEXION PHARMACEUTICALS INC,ALXN
IRM,IRON MOUNTAIN INC NEW,IRM
BRK,BERKSHIRE HATHAWAY INC DEL,BRK-B
ANSS,ANSYS INC,ANSS
ETFC,E TRADE FINANCIAL CORP,ETFC
NOV,NATIONAL OILWELL VARCO INC,NOV
ZION,ZIONS BANCORPORATION N A,ZION
DGX,QUEST DIAGNOSTICS INC,DGX
ROK,ROCKWELL AUTOMATION INC,ROK
TTWO,TAKE TWO INTERACTIVE SOFTWR INC,TTWO
ARE,ALEXANDRIA REAL EST EQUITIES IN,ARE
APH,AMPHENOL CORP NEW,APH
AMZN,AMAZON COM INC,AMZN
QRVO,QORVO INC,QRVO
BXP,BOSTON PROPERTIES INC,BXP
RL,RALPH LAUREN CORP,RL
AME,AMETEK INC NEW,AME
SLG,S L GREEN REALTY CORP,SLG
VLO,VALERO ENERGY CORP NEW,VLO
YUM,YUM BRANDS INC,YUM
CHRW,CH ROBINSON WORLDWIDE INC,CHRW
PLD,PROLOGIS INC,PLD
AMG,AFFILIATED MANAGERS GROUP INC,AMG
MTD,METTLER TOLEDO INTERNATIONAL IN,MTD
ADSK,AUTODESK INC,ADSK
URI,UNITED RENTALS INC,URI
VRSN,VERISIGN INC,VRSN
PWR,QUANTA SERVICES INC,PWR
MAR,MARRIOTT INTERNATIONAL INC NEW,MAR
BBY,BEST BUY COMPANY INC,BBY
SEE,SEALED AIR CORP NEW,SEE
AMT,AMERICAN TOWER CORP NEW,AMT
SRE,SEMPRA ENERGY,SRE
CTSH,COGNIZANT TECHNOLOGY SOLS CORP,CTSH
RSG,REPUBLIC SERVICES INC,RSG
CCI,CROWN CASTLE INTL CORP NEW,CCI
EBAY,EBAY INC,EBAY
NVDA,NVIDIA CORP,NVDA
BKNG,BOOKING HOLDINGS INC,BKNG
GS,GOLDMAN SACHS GROUP INC,GS
FFIV,F 5 NETWORKS INC,FFIV
JNPR,JUNIPER NETWORKS INC,JNPR
SBAC,S B A COMMUNICATIONS CORP NEW,SBAC
COST,COSTCO WHOLESALE CORP NEW,COST
DVN,DEVON ENERGY CORP NEW,DVN
RHT,RED HAT INC,RHT
BLK,BLACKROCK INC,BLK
AKAM,AKAMAI TECHNOLOGIES INC,AKAM
A,AGILENT TECHNOLOGIES INC,A
UPS,UNITED PARCEL SERVICE INC,UPS
PKG,PACKAGING CORP AMERICA,PKG
EW,EDWARDS LIFESCIENCES CORP,EW
EXPD,EXPEDITORS INTERNATIONAL WA INC,EXPD
MET,METLIFE INC,MET
MNST,MONSTER BEVERAGE CORP NEW,MNST
ISRG,INTUITIVE SURGICAL INC,ISRG
ILMN,ILLUMINA INC,ILMN
TPR,TAPESTRY INC,TPR
JKHY,HENRY JACK & ASSOC INC,JKHY
GRMN,GARMIN LTD,GRMN
ALGN,ALIGN TECHNOLOGY INC,ALGN
GPN,GLOBAL PAYMENTS INC,GPN
ADS,ALLIANCE DATA SYSTEMS CORP,ADS
FIS,FIDELITY NATIONAL INFO SVCS INC,FIS
MDLZ,MONDELEZ INTERNATIONAL INC,MDLZ
WLTW,WILLIS TOWERS WATSON PUB LTD CO,WLTW
ZBH,ZIMMER BIOMET HOLDINGS INC,ZBH
ACN,ACCENTURE PLC IRELAND,ACN
ANTM,ANTHEM INC,ANTM
PFG,PRINCIPAL FINANCIAL GROUP INC,PFG
AAP,ADVANCE AUTO PARTS INC,AAP
PRU,PRUDENTIAL FINANCIAL INC,PRU
CNC,CENTENE CORP DEL,CNC
NFLX,NETFLIX INC,NFLX
KMX,CARMAX INC,KMX
XEC,CIMAREX ENERGY CO,XEC
CMCSA,COMCAST CORP NEW,CMCSA
WYNN,WYNN RESORTS LTD,WYNN
EQIX,EQUINIX INC,EQIX
CME,C M E GROUP INC,CME
STX,SEAGATE TECHNOLOGY PLC,STX
LKQ,L K Q CORP,LKQ
AIZ,ASSURANT INC,AIZ
NRG,N R G ENERGY INC,NRG
CBRE,C B R E GROUP INC,CBRE
CRM,SALESFORCE COM INC,CRM
WCG,WELLCARE HEALTH PLANS INC,WCG
EXR,EXTRA SPACE STORAGE INC,EXR
GOOGL,ALPHABET INC,GOOGL
DLR,DIGITAL REALTY TRUST INC,DLR
MOS,MOSAIC COMPANY NEW,MOS
CE,CELANESE CORP DEL,CE
NDAQ,NASDAQ INC,NDAQ
DISCA,DISCOVERY INC,DISCA
EXPE,EXPEDIA GROUP INC,EXPE
CF,C F INDUSTRIES HOLDINGS INC,CF
AMP,AMERIPRISE FINANCIAL INC,AMP
UAA,UNDER ARMOUR INC,UAA
ICE,INTERCONTINENTALEXCHANGE GRP IN,ICE
VIAB,VIACOM INC NEW,VIAB
CMG,CHIPOTLE MEXICAN GRILL INC,CMG
UAL,UNITED CONTINENTAL HOLDINGS INC,UAL
TDG,TRANSDIGM GROUP INC,TDG
MA,MASTERCARD INC,MA
HBI,HANESBRANDS INC,HBI
WU,WESTERN UNION CO,WU
ROST,ROSS STORES INC,ROST
IPGP,I P G PHOTONICS CORP,IPGP
BR,BROADRIDGE FINANCIAL SOLUTNS IN,BR
DAL,DELTA AIR LINES INC,DAL
DFS,DISCOVER FINANCIAL SERVICES,DFS
TEL,T E CONNECTIVITY LTD,TEL
CXO,CONCHO RESOURCES INC,CXO
ULTA,ULTA BEAUTY INC,ULTA
MSCI,M S C I INC,MSCI
PM,PHILIP MORRIS INTERNATIONAL INC,PM
V,VISA INC,V
AWK,AMERICAN WATER WORKS CO INC,AWK
UNH,UNITEDHEALTH GROUP INC,UNH
DISCK,DISCOVERY INC,DISCK
AVGO,BROADCOM INC,AVGO
VRSK,VERISK ANALYTICS INC,VRSK
DG,DOLLAR GENERAL CORP NEW,DG
FTNT,FORTINET INC,FTNT
CBOE,C B O E GLOBAL MARKETS INC,CBOE
